iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
35,73.98998093605042,-9.021867510573683,29.7728989978558,116.58937257117783,-63.03920238751889,0.0,162.29272748633042,0.05,0.03938126564025879,0.7589552402496338,0.025272217,0.029693585,-0.5060461041017158,0.0,60000,7.315872430801392,1.7336403015784834,0.8264929168331165,45.513562847561104,0.0
36,74.23552703857422,-2.4798101546866995,35.56239336856242,117.3744750562508,-43.5137485269249,0.0,175.3399251390904,0.05,0.039150238037109375,0.790010929107666,0.024997452,0.028654234,-0.7034225091602142,0.0,60000,7.623374938964844,0.9123213593765032,0.7591932779054227,52.017965986789484,0.0
37,74.14267635345459,-7.164775924233746,32.39329643822538,160.06016794541077,-60.6696095052176,0.0,171.14408909872384,0.05,0.03842306137084961,0.8429019451141357,0.024924725,0.030294962,-1.3495578506675674,0.0,60000,7.662492036819458,0.9729538683945288,0.8140968303103812,38.4522855249688,0.0
38,75.65072059631348,5.748486088133626,47.97160802120114,201.8619762390475,-43.694436083978744,0.0,177.85615546259433,0.05,0.04134631156921387,0.8460688591003418,0.025337044,0.02881778,-0.6397534567874481,0.0,60000,6.243180513381958,0.7552289393233129,0.6400943764480912,38.597794409556585,0.0
39,75.56376767158508,3.747490371748418,46.46563616117041,188.00839598492536,-65.58170782626067,0.0,178.65979315764937,0.05,0.04279899597167969,0.8527836799621582,0.02495597,0.028720528,-0.20102907393386155,0.0,60000,6.873589515686035,0.8234535710773297,0.6030943000449338,37.1114420793371,0.0
40,74.09527921676636,-0.05123011549116498,41.52252259687623,201.15088666811948,-43.181748777440085,0.0,181.58967958612286,0.05,0.03935718536376953,0.7878804206848145,0.025134884,0.028064007,-0.18604917808959187,0.0,60000,5.92243218421936,0.7643900885831344,0.75166723827451,33.0474658217975,0.0
41,74.29830837249756,5.130943278908206,46.702789510337425,196.9092359989112,-43.47369432707827,0.0,169.56817663688273,0.05,0.03913116455078125,0.7601995468139648,0.023544727,0.027519185,0.34565006761018796,0.0,60000,6.180459260940552,0.7704761515532631,0.5504010016801065,54.60377874805904,0.0
42,74.46234917640686,4.950444503338409,42.91106037865545,213.97795142258988,-66.47007472377024,0.0,180.62567618070483,0.05,0.03658318519592285,0.6861858367919922,0.024776233,0.027714768,0.80612951118301,0.0,60000,6.103848934173584,0.7270591353669138,0.5640151234425476,26.88412872151571,0.0
43,73.6424024105072,0.3793949139758411,38.54595497467467,161.51010325482645,-55.56292741040301,0.0,178.47392447358914,0.05,0.03235983848571777,0.7721238136291504,0.02506399,0.028280023,0.7634560514622931,0.0,60000,6.5780112743377686,0.7223719726872849,0.6853241351927926,28.30073011225042,0.0
44,74.4357237815857,5.225501887995603,44.14519923379551,140.95575211856766,-53.12918552579496,0.0,179.87050341432894,0.05,0.04139590263366699,0.772258996963501,0.02475834,0.027940571,1.209660635115624,0.0,60000,6.077142238616943,0.7416796860935969,0.5629869799270363,39.79340956218521,0.0
45,75.39153790473938,14.205773913913822,47.703663425004386,219.16994713977718,-66.45511650827936,0.0,185.03506934592264,0.05,0.0405268669128418,0.7861154079437256,0.025109457,0.027181352,2.509271962995444,0.0,60000,7.3689374923706055,0.6355457649092712,0.5181512715239263,45.6987890217489,0.0
46,74.35130047798157,10.859271068665912,50.0180967194622,226.67136006737383,-65.89211117221804,0.0,178.41267380353227,0.05,0.03832364082336426,0.7841880321502686,0.025258152,0.02811334,3.344271873562491,0.0,60000,6.28275728225708,0.6537864189723412,0.5585192121549964,78.32970831225522,0.0
47,74.82324194908142,15.392989825869204,54.280650641400996,219.32639158675286,-50.46259483860336,0.0,177.85999326132307,0.05,0.03883004188537598,0.7722926139831543,0.024949607,0.027966045,4.549143668793162,0.0,60000,6.017788410186768,0.6122271647478329,0.47439013354939674,878.3089286861422,4.0
48,75.00240683555603,16.619594163152737,51.12964215654223,191.44033420791877,-66.70039029510025,0.0,182.84351590191596,0.05,0.03722381591796875,0.7709574699401855,0.024983607,0.02777059,5.7561887182291205,0.0,60000,5.895215272903442,0.5575132330590639,0.4738351239452858,123.9805851840958,0.0
49,76.21837997436523,26.080123295925095,138.77409317800664,1849.1037658902935,-67.33156396441412,0.0,222.45352695631934,0.05,0.037017107009887695,0.7513961791992188,0.025385568,0.031105185,7.788582175998718,0.0,60000,5.671737432479858,0.9490734211554014,0.8799483997672687,74.00796490358265,0.0
50,75.50145959854126,20.589046422931943,56.718008499378755,199.2501622957775,-69.67286950822592,0.0,179.53436046797447,0.05,0.03935098648071289,0.7412526607513428,0.024996843,0.027924286,9.06862860069204,0.0,60000,5.558570384979248,0.8144781437137335,0.44329455272646373,125.7411477871386,0.0
51,75.96388554573059,72.65734092125217,689.8607766831188,9766.75619762539,-66.34657909399479,0.5,182.44150792585432,0.05,0.04161381721496582,0.7681598663330078,0.025703652,0.03689709,15.427499832748055,0.5,60000,5.643190383911133,0.9972714159796704,0.9153124702158095,111.71805664935039,0.0
52,75.58579730987549,20.74416777585683,56.94827310625228,238.85199916592848,-60.652987582345965,0.0,171.75894249432545,0.05,0.03993797302246094,0.7943108081817627,0.02463862,0.02839059,15.959166627058934,0.0,60000,5.824241399765015,8.050861926926807,0.6108620771009294,129.50930497878585,0.0
53,75.83572244644165,24.05764591048709,53.26439506410125,213.4722211494429,-58.19770528382066,0.0,181.06319003209052,0.05,0.032553672790527344,0.6827921867370605,0.025335632,0.027876895,16.76901455540175,0.0,60000,5.829766750335693,0.7059346759966727,0.4834353087723959,133.11094534243665,0.0
54,76.05200338363647,26.316370320300486,55.929528611336515,218.8360983417856,-56.737160653417185,0.0,179.31490343462158,0.05,0.0413210391998291,0.8330893516540527,0.024941755,0.028050678,17.723750131891624,0.0,60000,6.052504062652588,0.5810325773309201,0.48559520631393527,133.50644635325204,0.0
55,76.80888676643372,32.70383363717942,65.82184337831697,236.51110494201077,-60.70149762844824,0.0,176.2685321507525,0.05,0.04011034965515137,0.7677087783813477,0.024907649,0.028688882,19.221758482420405,0.0,60000,6.147370338439941,0.5280476697796989,0.4383457227463871,123.98451835773632,0.0
56,77.13035440444946,131.99030537947158,1336.420175630144,18963.93512253882,-114.6108804283312,0.5,199.37367757337194,0.05,0.03599739074707031,0.7173538208007812,0.02576171,0.032931715,30.498613172125523,0.5,60000,6.2614586353302,0.9997745638807032,0.920142931339716,153.68213998787695,0.0
57,75.3884334564209,37.712058740012765,61.95940592093594,232.92501296481282,-106.09417519887961,0.0,170.8520653565593,0.05,0.039955854415893555,0.7770984172821045,0.024845527,0.028726704,31.219957728914245,0.0,60000,5.726403474807739,5.975666553665295,0.6100044728195367,140.47661952108785,0.0
58,75.88260245323181,33.41580608582135,58.41489745253321,228.3308676968583,-45.03089824695886,0.0,172.0677758368398,0.05,0.03670096397399902,0.6900906562805176,0.024916038,0.028795078,31.439542564604956,0.0,60000,7.0701000690460205,0.7952354108084649,0.5361532770690194,148.8723911322453,0.0
59,76.36170172691345,33.58748693900246,63.62090052843368,227.5745778517185,-76.01902696936044,0.0,172.6980325170545,0.05,0.04228997230529785,0.7717504501342773,0.024870923,0.02869439,31.654337002044706,0.0,60000,6.398640155792236,0.5964334625281515,0.4699978683673393,171.6023531133208,0.0
60,76.75109052658081,42.15179627969062,66.307768291194,225.31450446830232,-56.32629182070005,0.0,165.95236032690505,0.05,0.04445648193359375,0.8583436012268066,0.024989184,0.029627942,32.704082929809296,0.0,60000,6.083494424819946,0.5367185837463536,0.42332860856933624,195.09130638709564,0.0
61,78.6396131515503,59.72284190285043,75.4170339903148,225.9032344257121,-110.20419591323108,0.0,178.42358604177846,0.05,0.03972983360290527,0.803152322769165,0.0250724,0.028118612,35.40595882711341,0.0,60000,7.040316581726074,0.4693709287053512,0.3287497436779404,214.4555580714891,0.0
62,78.85052466392517,58.70589567875111,76.56009155605891,234.68256940448475,-69.324992094881,0.0,173.19638011733073,0.05,0.040667057037353516,0.7636034488677979,0.025019336,0.029150711,37.73595251227718,0.0,60000,5.910518646240234,0.3970374294180624,0.33109951530249987,216.31361095816558,0.0
63,79.51863193511963,60.88449639576094,78.31417896903511,236.2257139849876,-61.32172356971449,0.0,164.32214999339286,0.05,0.040428876876831055,0.7632851600646973,0.02516421,0.029919565,40.05080690062556,0.0,60000,6.321194410324097,0.3813825188293489,0.31302209476349707,204.9953304976812,0.0
64,79.3377788066864,64.3531320268187,77.53816427239218,228.14545898333162,-66.98514447446925,0.0,180.70015473735825,0.05,0.03449201583862305,0.6856377124786377,0.024981678,0.027689511,42.48103941324487,0.0,60000,5.672589540481567,0.34582505673911723,0.29008683337528113,218.99693430272404,0.0
65,80.6916663646698,69.87546847360633,79.80645711740712,233.4489375400463,-112.20986996213071,0.0,178.46858627078527,0.05,0.033969879150390625,0.6974127292633057,0.024804292,0.028052185,45.22048231928102,0.0,60000,5.699620723724365,0.3450868562720738,0.29258820040582556,221.42468767465766,0.0
66,81.16658973693848,79.45838345012689,79.861118051936,232.3205388746451,-54.41366180504513,0.0,178.49778420963705,0.05,0.034851789474487305,0.6845438480377197,0.024851236,0.027403658,48.644272432365604,0.0,60000,5.848127841949463,0.345858175585035,0.2686861099925918,203.1340967575629,0.0
67,81.11512732505798,137.95067104349778,659.3611227480153,8486.14691435589,-88.29325952838167,1.0,152.1539359141541,0.05,0.03251910209655762,0.6998841762542725,0.025470309,0.05217404,57.57491229347882,1.0,60000,5.937963008880615,0.9665130468519622,0.8912145511019559,209.6804275691425,0.0
68,81.95207381248474,194.2570896831157,1364.6732826999255,19204.17936022214,-51.98343889624382,1.0,158.95071302751361,0.05,0.03531694412231445,0.6961658000946045,0.025345149,0.03741551,71.24313003244251,1.0,60000,6.005987644195557,0.9747908858888312,0.8798997462949094,205.13893538183896,0.0
69,82.3990592956543,80.2293793274798,75.29184890981354,233.2366315706006,-99.96171781064389,0.0,164.07141938828633,0.05,0.03630328178405762,0.6905272006988525,0.02482325,0.029660933,72.14175496194623,0.0,60000,6.102826833724976,11.377284030158265,0.42082573256499334,209.972520679808,0.0
70,82.11986637115479,78.03984800582583,75.63766077485788,244.90639990138703,-86.68857719174441,0.0,160.58556983025298,0.05,0.0419461727142334,0.7826404571533203,0.025154656,0.030243617,72.73156426633419,0.0,60000,6.314979314804077,0.6571958730107584,0.3176000674295094,206.78946790532805,0.0
71,81.23407077789307,80.2229297973797,82.5134338548378,237.05254900484607,-70.72917159338922,0.0,163.74591111116632,0.05,0.04096627235412598,0.7547192573547363,0.024895357,0.03053345,73.48070081943874,0.0,60000,6.232215404510498,0.34522949471994285,0.2717160508572695,191.3320296593248,0.0
72,80.71132731437683,106.15493348972177,524.3127049854864,7428.598072910682,-90.80101072541,0.5,197.09204733100506,0.05,0.04249978065490723,0.7679643630981445,0.024060823,0.03102919,76.74812408646704,0.5,60000,6.067180871963501,0.9744523073767385,0.9061277919726745,193.7208335397697,0.0
73,81.35564398765564,106.09522105731456,393.23641611250065,5551.01326893861,-59.857655274176125,0.5,187.9375804910853,0.05,0.03477287292480469,0.6892595291137695,0.025085522,0.047885243,79.6828337835518,0.5,60000,5.7017834186553955,0.9330424554833903,0.9344794224106705,193.0491891466701,0.0
74,82.37301254272461,81.38500982462841,79.08853397774527,229.32154233880607,-75.1070768109415,0.0,172.19260764454867,0.05,0.03315591812133789,0.6924686431884766,0.024896497,0.029201997,79.85305138765946,0.0,60000,7.354687213897705,2.231128307935388,0.29500302920598664,197.03433453266246,0.0
75,82.54289197921753,92.35832223837224,79.12541631345425,240.4792996333159,-75.65040295206182,0.0,172.68611172366448,0.05,0.03783583641052246,0.8568010330200195,0.024749111,0.028957084,81.10357847273075,0.0,60000,6.116870164871216,0.3250835302372457,0.24997822105102022,196.13573719980155,0.0
76,82.0001130104065,88.75278327582117,75.99493066276534,234.92035755313205,-87.15569852875855,0.0,166.4653926694874,0.05,0.03879237174987793,0.7610814571380615,0.024973547,0.029528685,81.86849895303979,0.0,60000,6.08402681350708,0.31200764985990476,0.22984630764306394,209.75865607443157,0.0
77,82.94755363464355,177.25333500032525,1181.6165119217349,16810.099000399692,-54.007498258958435,0.5,138.06259476021765,0.05,0.03821969032287598,0.7596769332885742,0.025065511,0.042957928,91.40698255776834,0.5,60000,6.3997602462768555,0.9891527464192235,0.907698095545281,214.87300488029408,0.0
78,83.73791980743408,129.5756825217132,551.5746475164896,7826.434342650924,-56.434849953645845,0.5,172.08149230965643,0.05,0.036911725997924805,0.8396449089050293,0.0249494,0.03567064,95.22385255416285,0.5,60000,7.468998432159424,1.0691691827830494,0.8415093315846606,204.49453980725173,0.0
79,82.77835965156555,92.17255667065245,82.63516242634057,234.99050677925592,-93.49290836971142,0.0,160.4723698307871,0.05,0.03953814506530762,0.7951796054840088,0.025089057,0.029734828,94.91872296581181,0.0,60000,5.925817012786865,3.118821222033129,0.36010130744512575,208.70890983759674,0.0
80,80.91421747207642,75.28882064670123,80.35586879015973,235.2847337856885,-93.6260984229229,0.0,157.38672666834555,0.05,0.0391082763671875,0.7541418075561523,0.02527656,0.031530086,92.95573273390076,0.0,60000,6.175970792770386,0.6437103341527964,0.3625653838410768,210.66519138551612,0.0
81,83.35108685493469,102.20483226286018,78.7565108687217,235.9841649843298,-44.085603086853766,0.0,171.5557927505324,0.05,0.041436195373535156,0.774200439453125,0.024420235,0.027996125,93.8806426867967,0.0,60000,7.269300222396851,0.3394875116621224,0.24170159362923857,199.6284145781334,0.0
82,82.43808770179749,116.35337558260889,375.4859199404155,5301.469601826984,-73.6726919514384,0.5,160.87957556754702,0.05,0.038785457611083984,0.6954805850982666,0.025497045,0.04903955,96.12791597637792,0.5,60000,5.878384351730347,0.9333629939510886,0.7986280586756097,198.68520173586933,0.0
83,81.61713814735413,95.70070013879148,166.71251107490409,2141.511172403103,-51.9842885553628,0.0,191.6177926224864,0.05,0.0419309139251709,0.7678773403167725,0.024388272,0.027434653,96.08519439261927,0.0,60000,6.593173503875732,0.9895604504669536,0.7282724330308404,191.7623537076461,0.0
84,84.32615160942078,101.7656942504974,84.29309224100591,233.87021717957452,-57.48939675175162,0.0,164.1902197377419,0.05,0.04284167289733887,0.8367388248443604,0.024974324,0.030748596,96.6532443784071,0.0,60000,6.501876592636108,0.44678622666112316,0.2558835109784511,196.44468222917033,0.0
85,83.02549743652344,182.67536906426318,1279.8266960542999,18201.357213387037,-50.8799153903518,0.5,158.25367484635555,0.05,0.04136490821838379,0.8015005588531494,0.024563989,0.040877525,105.2554568469927,0.5,60000,6.915812015533447,0.9937955319846599,0.8823141100421946,205.58741338935826,0.0
86,83.58695793151855,158.7517928226271,880.79256895792,12389.274336905683,-117.0393073047544,0.5,175.14039817672605,0.05,0.04040956497192383,0.778083086013794,0.024698555,0.039232124,110.60509044455614,0.5,60000,6.441804647445679,0.9535845164841956,0.8713805401505731,207.09436476373918,0.0
87,83.74338841438293,169.2944106138921,1064.4538235756947,15140.31186900688,-70.03360449723901,0.5,157.45599369483534,0.05,0.04208803176879883,0.7853076457977295,0.024984872,0.038955014,116.47402246148974,0.5,60000,5.80643105506897,0.9741425278827793,0.8828978303475702,190.22814134392266,0.0
88,83.49268531799316,177.80005979920293,989.8884246578752,13673.712397270056,-54.067327895134554,1.0,207.19152052883825,0.05,0.04084920883178711,0.823479175567627,0.025175594,0.024785196,122.60662619526106,1.0,60000,7.261626482009888,0.9291602389395542,0.8349348336037686,194.0702556974248,0.0
89,82.10394883155823,148.36061696463076,834.159973639775,11868.63541919825,-80.27414619335434,0.5,191.539150164469,0.05,0.04304909706115723,0.8387603759765625,0.025212508,0.029800361,125.18202527219803,0.5,60000,7.5156331062316895,1.0450550023247016,0.8928926393815786,216.92415048040667,0.0
90,82.94357132911682,102.44582823485518,229.6939374455868,3129.4974968180286,-57.765793805074395,0.5,171.1281513235246,0.05,0.04174017906188965,0.8368208408355713,0.025235362,0.029963613,122.90840556846375,0.5,60000,6.34795069694519,1.463809437802405,0.834346959798228,212.69074329331414,0.0
91,81.08668804168701,225.52764081121109,1592.3613685992004,21568.158746117955,-64.368455482183,1.0,181.29824150801016,0.05,0.04079103469848633,0.7535712718963623,0.025206534,0.03438181,133.17032909273848,1.0,60000,5.98105788230896,0.9733990487434973,0.8333775837022821,181.46264334699515,0.0
92,82.59296226501465,205.4144225701652,1119.4914870190703,12894.95139373212,-60.24465923678285,1.5,189.82355870786984,0.05,0.042334794998168945,0.8101499080657959,0.025226286,0.028382653,140.39473844048115,1.5,60000,5.7059080600738525,0.970066376900928,0.8552540499845366,210.69882045172668,0.0
93,81.0985701084137,186.07922808719732,1211.3737140440699,16306.984499047936,-83.30917366396372,1.0,176.05282409226288,0.05,0.04218411445617676,0.8177456855773926,0.024939274,0.030634914,144.96318740515275,1.0,60000,5.550438404083252,1.0313346738465903,0.8846009068984603,202.18226032535964,0.0
94,81.8312087059021,147.48922069495464,994.7659119014205,14135.702312878035,-145.05370005933628,0.5,192.42331034864037,0.05,0.04027748107910156,0.7624421119689941,0.02529268,0.029802974,145.21579073413295,0.5,60000,5.502794504165649,0.9882486809773718,0.8591651654349566,203.26583339947814,0.0
95,82.5805172920227,85.01529790397598,72.93875222470014,235.8818989995401,-53.989876059836824,0.0,163.92954335363785,0.05,0.04067540168762207,0.7794473171234131,0.024981057,0.031641033,139.19574145111727,0.0,60000,5.5113725662231445,6.346555943390523,0.8843472021028168,191.2723725093573,0.0
